Licence Number,UWI,Client,Phase 1 ESA Vendor,PH 1 Year,Phase 1 ESA Result,Phase 1 ESA Well Centre,Phase 1 ESA Drilling Waste Disposal,Phase 1 ESA Flare Pit,Phase 1 ESA Aboveground Infrastructure,Phase 1 ESA Underground Storage Tank,Phase 1 ESA Spill,Phase 1 ESA Other APEC,Phase 2 ESA Vendor,Phase 2 ESA Year,Phase 2 ESA Result,Phase 2 ESA Well Centre,Phase 2 ESA Drilling Waste Disposal,Phase 2 ESA Flare Pit,Phase 2 ESA Aboveground Infrastructure,Phase 2 ESA Underground Storage Tank,Phase 2 ESA Spill,Phase 2 ESA Other APEC,Phase 2 ESA Well Centre Contaminated Volume (m3),Phase 2 ESA Drilling Waste Disposal Contaminated Volume (m3),Phase 2 ESA Flare Pit Contaminated Volume (m3),Phase 2 ESA Aboveground Infrastructure Contaminated Volume (m3),Phase 2 ESA Underground Storage Tank Contaminated Volume (m3),Phase 2 Spill Area Volume (m3),Phase 2 ESA Combined Contaminated Volume (m3),Remediation Vendor,Remediation Year,Well Centre Volume Remediated (m3),Drilling Waste Disposal Volume Remediated (m3),Flare Pit Volume Remediated (m3),Aboveground Infrastructure Volume Remediated (m3),Underground Storage Tank Volume Remediated (m3),Remediated Combined Volume (m3),Notes,Source,Cost - Phase 1 ESA,Cost - Phase 2 ESA,Cost - Phase 3 Remedial Report,Who entered the data,Source Dates,Budget (high level) or Amount,Units - Project Manager,Units - Project Coordinator ,Units - Administration ,Units - Line Locates ,Units - Hydrovac Lines ,Units - Survey,Units - Liner ,Units - Lowboy Equipment Mob/Demob,Units - Site Supervisor ,Units - Excavator ,Units - D6 Dozer ,Units - Operator Travel Time ,Units - Operator Crew Truck ,Units - Equipment Crew Subsistence ,Units - Lab Analysis ,Units - Truck and Pup,Units - Loader
,100/10‐04‐007‐08W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/10-05-002-11W4/02,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/10‐12‐013‐15W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2019,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2019,,,,,,,,,,,,,,,,,,
,100/10-12-030-01W4/02,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2021,,,,,,,,,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2021,,,,,,,,,,,,,,,,,,
,141/10‐15‐013‐26W3M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,101/10-15-021-26W3/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2019,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2019,,,,,,,,,,,,,,,,,,
,102/10‐17‐012‐19W4/02,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/10‐23‐014‐11W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2017,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2017,,,,,,,,,,,,,,,,,,
,101/10‐28‐012‐26W3/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2019,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2019,,,,,,,,,,,,,,,,,,
,100/10‐33‐021‐05W4M,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2020,Fail,,,,,,,,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2020,,,,,,,,,,,,,,,,,,
,100/11‐06‐016‐11W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2018,Fail,,,,,,,,,,,,,,,,,,,,,,,"SECURE recommends an additional assessment of the area to further evaluate
remediation options and assess the background site chemistry.  ",CNRL files,,,,Alice,2018,,,,,,,,,,,,,,,,,,
,100/11‐17‐013‐15W4/00 ,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2019,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2019,,,,,,,,,,,,,,,,,,
,103/11‐20‐014‐11W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2017,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2017,,,,,,,,,,,,,,,,,,
,100/11‐25‐016‐13W4/03,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2017,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2017,,,,,,,,,,,,,,,,,,
,102/11‐25‐016‐13W4/00,Canadian Natural Resources Limited,,,Fail,,,,,,,,Other,2017,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,CNRL files,,,,Alice,2017,,,,,,,,,,,,,,,,,,
